id,documentId,en,ru,fontSize,correctAnswer,answerTime,createdAt,updatedAt,publishedAt,locale
155,"ddowot70vuin5y34wsv0damf","모르다","не знать",16,true,30,"2025-03-22T16:25:55.075Z","2025-03-22T16:26:00.605Z","",""
157,"p6xgdawjpqry1xs6d8m8zr7n","재미있다","интересно",16,true,30,"2025-03-22T16:27:32.010Z","2025-03-22T16:27:35.010Z","",""
159,"xfugfpgho6kfqge7q9j4gdpz","재미없다","не интересно ",16,true,30,"2025-03-22T16:29:53.010Z","2025-03-22T16:29:58.269Z","",""
161,"aanfh0meoiz32m9zom7b9y2q","청소","уборка",16,true,30,"2025-03-22T16:31:18.563Z","2025-03-22T16:31:21.133Z","",""
163,"bda6nnmbc2p1tchqnj5sgniq","아프다","больной ",16,true,30,"2025-03-22T16:32:48.214Z","2025-03-22T16:32:51.954Z","",""
165,"gf9ozwea3xpapt7jcwrdgwag","허리","пояс",16,true,30,"2025-03-22T16:34:41.685Z","2025-03-22T16:34:45.245Z","",""
167,"gnpw73tbt6ixj7kc8l8ic7db","등","спина",16,true,30,"2025-03-22T16:35:42.409Z","2025-03-22T16:35:45.515Z","",""
169,"v9szfcin65ik9o3jhqccjw8t","팔","рука",16,true,30,"2025-03-22T16:37:05.934Z","2025-03-22T16:37:09.270Z","",""
171,"tkzmy29nm9ra6fqe6thd3wxt","머리","голова",16,true,30,"2025-03-22T16:37:54.199Z","2025-03-22T16:37:57.379Z","",""
173,"o3chyk84kwrx70zw7vm16nzy","다리","гога",16,true,30,"2025-03-22T16:39:04.737Z","2025-03-22T16:39:09.342Z","",""
175,"p1zdg05omj8n9vmql8lc9prw","손","палец",16,true,30,"2025-03-22T16:39:53.470Z","2025-03-22T16:39:56.900Z","",""
177,"rhc5ro7nd6id6nt65iwtpf25","목","шея",16,true,30,"2025-03-22T16:40:51.606Z","2025-03-22T16:40:54.686Z","",""
179,"jloxzpb0wtvyjen0fz8ucwgr","배","живот",16,true,30,"2025-03-22T16:45:15.862Z","2025-03-22T16:45:19.077Z","",""
181,"g701nyabpyxhgnq63vhawgv8","기침","кашель",16,true,30,"2025-03-22T16:47:12.335Z","2025-03-22T16:47:17.324Z","",""
183,"bxig4tjfyc9k0hp8nz0bdyz7","이야기하다","разговаривать ",16,true,30,"2025-03-24T11:27:04.354Z","2025-03-24T11:27:11.533Z","",""
185,"hnru9m7rbobroyc53qdk2eqa","보다(봐요)","смотреть",16,true,30,"2025-03-24T11:28:39.394Z","2025-03-24T11:28:54.786Z","",""
187,"m8lj77n00ijlbfxlx3nfn0wb","경찰-","полицейский",16,true,30,"2025-03-24T11:30:07.680Z","2025-03-24T11:31:01.644Z","",""
189,"rudchci68vixxhkzk7g0wy0x","읽다-","читать",16,true,30,"2025-03-24T11:32:11.440Z","2025-03-24T11:32:18.971Z","",""
191,"asyz0z39b8x4tjb7ckl30ovy","회사원","сотрудник в компании ",16,true,30,"2025-03-24T11:33:13.592Z","2025-03-24T11:33:29.137Z","",""
